ontology_curie	biosample_name	biosample_type	biosample_life_stage	gtex_tissue	available_outputs	total_tracks
CL:0000047	neuronal stem cell	in_vitro_differentiated_cells	embryonic		cage,chip_histone,dnase,rna_seq,splice_junctions,splice_site_usage	19
CL:0000062	osteoblast	primary_cell	adult		cage,chip_histone,chip_tf,rna_seq,splice_junctions,splice_site_usage	17
CL:0000077	mesothelial cell	primary_cell			cage	4
CL:0000084	T-cell	primary_cell	adult		atac,chip_histone,dnase,rna_seq,splice_junctions,splice_site_usage	18
CL:0000097	mast cell	primary_cell			cage	2
CL:0000100	motor neuron	in_vitro_differentiated_cells	adult		atac,chip_histone,rna_seq,splice_junctions,splice_site_usage	8
CL:0000115	endothelial cell	in_vitro_differentiated_cells	adult		chip_tf,dnase,rna_seq,splice_junctions,splice_site_usage	7
CL:0000121	Purkinje cell	primary_cell	child		rna_seq,splice_junctions,splice_site_usage	4
CL:0000127	astrocyte	primary_cell	unknown		chip_histone,chip_tf,dnase,rna_seq,splice_junctions,splice_site_usage	18
CL:0000134	mesenchymal stem cell	in_vitro_differentiated_cells	embryonic		cage,chip_histone,dnase,rna_seq,splice_junctions,splice_site_usage	22
CL:0000136	fat cell	primary_cell	unknown		cage,chip_histone,dnase	9
CL:0000137	osteocyte	in_vitro_differentiated_cells	embryonic		chip_tf,rna_seq,splice_junctions,splice_site_usage	6
CL:0000138	chondrocyte	in_vitro_differentiated_cells	embryonic		cage,chip_tf,dnase,rna_seq,splice_junctions,splice_site_usage	9
CL:0000169	type B pancreatic cell	in_vitro_differentiated_cells	embryonic		chip_tf,rna_seq,splice_junctions,splice_site_usage	6
CL:0000182	hepatocyte	in_vitro_differentiated_cells	embryonic		cage,chip_histone,chip_tf,dnase,rna_seq,splice_junctions,splice_site_usage	20
CL:0000187	myocyte	in_vitro_differentiated_cells	adult		dnase,rna_seq,splice_junctions,splice_site_usage	10
CL:0000188	cell of skeletal muscle	primary_cell	unknown		cage,chip_histone,dnase	4
CL:0000192	smooth muscle cell	in_vitro_differentiated_cells	embryonic		chip_histone,rna_seq,splice_junctions,splice_site_usage	18
CL:0000214	synovial cell	primary_cell			cage	2
CL:0000216	Sertoli cell	primary_cell			cage	2
CL:0000221	ectodermal cell	in_vitro_differentiated_cells	embryonic		chip_histone,rna_seq,splice_junctions,splice_site_usage	9
CL:0000222	mesodermal cell	in_vitro_differentiated_cells	embryonic		chip_histone,rna_seq,splice_junctions,splice_site_usage	10
CL:0000223	endodermal cell	in_vitro_differentiated_cells	embryonic		chip_histone,chip_tf,dnase,rna_seq,splice_junctions,splice_site_usage	18
CL:0000235	macrophage	primary_cell			cage	2
CL:0000236	B cell	primary_cell	adult		atac,chip_histone,chip_tf,dnase,rna_seq,splice_junctions,splice_site_usage	23
CL:0000307	tracheal epithelial cell	primary_cell	adult		cage,rna_seq,splice_junctions,splice_site_usage	7
CL:0000312	keratinocyte	primary_cell	unknown		cage,chip_histone,chip_tf,dnase,rna_seq,splice_junctions,splice_site_usage	19
CL:0000322	pneumocyte	primary_cell			cage	2
CL:0000346	hair follicle dermal papilla cell	primary_cell	adult		rna_seq,splice_junctions,splice_site_usage	5
CL:0000351	trophoblast cell	in_vitro_differentiated_cells	embryonic		chip_histone,dnase,rna_seq,splice_junctions,splice_site_usage	20
CL:0000388	tendon cell	primary_cell			cage	2
CL:0000453	Langerhans cell	primary_cell			cage	2
CL:0000515	skeletal muscle myoblast	primary_cell	unknown		cage,chip_histone,chip_tf,dnase,rna_seq,splice_junctions,splice_site_usage	22
CL:0000540	neuron	primary_cell	embryonic		cage,chip_histone	7
CL:0000545	T-helper 1 cell	primary_cell	adult		dnase	1
CL:0000546	T-helper 2 cell	primary_cell	adult		dnase	1
CL:0000558	reticulocyte	primary_cell			cage	2
CL:0000569	cardiac mesenchymal cell	primary_cell			cage	2
CL:0000575	corneal epithelial cell	primary_cell			cage	2
CL:0000576	monocyte	primary_cell			cage	2
CL:0000594	skeletal muscle satellite cell	primary_cell	adult		cage,chip_histone,rna_seq,splice_junctions,splice_site_usage	13
CL:0000623	natural killer cell	primary_cell	adult		atac,cage,chip_histone,chip_tf,dnase,rna_seq,splice_junctions,splice_site_usage	20
CL:0000624	CD4-positive, alpha-beta T cell	primary_cell	adult		atac,chip_histone,chip_tf,dnase,rna_seq,splice_junctions,splice_site_usage	18
CL:0000625	CD8-positive, alpha-beta T cell	primary_cell	adult		atac,chip_histone,chip_tf,dnase,rna_seq,splice_junctions,splice_site_usage	19
CL:0000632	hepatic stellate cell	primary_cell	adult		dnase	1
CL:0000650	mesangial cell	primary_cell	unknown,embryonic		cage,rna_seq,splice_junctions,splice_site_usage	7
CL:0000653	glomerular visceral epithelial cell	primary_cell	child		dnase	1
CL:0000679	glutamatergic neuron	in_vitro_differentiated_cells	adult		chip_tf,dnase,rna_seq,splice_junctions,splice_site_usage	11
CL:0000706	choroid plexus epithelial cell	primary_cell	unknown		chip_histone,chip_tf,dnase	3
CL:0000708	leptomeningeal cell	primary_cell			cage	2
CL:0000731	urothelial cell	primary_cell			cage	2
CL:0000746	cardiac muscle cell	in_vitro_differentiated_cells	embryonic		cage,chip_histone,chip_tf,dnase,rna_seq,splice_junctions,splice_site_usage	18
CL:0000765	erythroblast	primary_cell	unknown		chip_tf	1
CL:0000767	basophil	primary_cell			cage	4
CL:0000771	eosinophil	primary_cell			cage	2
CL:0000775	neutrophil	primary_cell	unknown		cage,chip_histone,chip_tf	11
CL:0000784	plasmacytoid dendritic cell	primary_cell			cage	4
CL:0000787	memory B cell	primary_cell	adult		atac,dnase	2
CL:0000788	naive B cell	primary_cell	unknown		atac,dnase,rna_seq,splice_junctions,splice_site_usage	6
CL:0000792	CD4-positive, CD25-positive, alpha-beta regulatory T cell	primary_cell	adult		atac,chip_histone,dnase,rna_seq,splice_junctions,splice_site_usage	14
CL:0000798	gamma-delta T cell	primary_cell			cage	2
CL:0000823	immature natural killer cell	primary_cell	unknown		dnase,rna_seq,splice_junctions,splice_site_usage	5
CL:0000837	hematopoietic multipotent progenitor cell	in_vitro_differentiated_cells	unknown		dnase,rna_seq,splice_junctions,splice_site_usage	6
CL:0000840	immature conventional dendritic cell	primary_cell			cage	4
CL:0000842	mononuclear cell	primary_cell	adult		chip_histone,rna_seq,splice_junctions,splice_site_usage	8
CL:0000862	suppressor macrophage	primary_cell	adult		dnase	1
CL:0000863	inflammatory macrophage	primary_cell	adult		dnase	1
CL:0000895	naive thymus-derived CD4-positive, alpha-beta T cell	primary_cell	adult		atac,cage,chip_histone,dnase,rna_seq,splice_junctions,splice_site_usage	17
CL:0000897	CD4-positive, alpha-beta memory T cell	primary_cell	adult		chip_histone,dnase,rna_seq,splice_junctions,splice_site_usage	14
CL:0000899	T-helper 17 cell	primary_cell	adult		atac,dnase,rna_seq	4
CL:0000900	naive thymus-derived CD8-positive, alpha-beta T cell	primary_cell	adult		atac,dnase,rna_seq,splice_junctions,splice_site_usage	11
CL:0000904	central memory CD4-positive, alpha-beta T cell	primary_cell	adult		dnase	1
CL:0000905	effector memory CD4-positive, alpha-beta T cell	primary_cell	adult		chip_histone,dnase	4
CL:0000907	central memory CD8-positive, alpha-beta T cell	primary_cell	adult		atac,dnase	2
CL:0000909	CD8-positive, alpha-beta memory T cell	primary_cell	adult		chip_histone,dnase,rna_seq,splice_junctions,splice_site_usage	14
CL:0000913	effector memory CD8-positive, alpha-beta T cell	primary_cell	adult		atac,dnase	2
CL:0001016	immature CD1a-positive Langerhans cell	primary_cell			cage	2
CL:0001042	T-helper 22 cell	primary_cell	adult		dnase	1
CL:0001044	effector CD4-positive, alpha-beta T cell	primary_cell	adult		dnase	1
CL:0001053	IgD-negative memory B cell	primary_cell	unknown		rna_seq,splice_junctions,splice_site_usage	4
CL:0001054	CD14-positive monocyte	primary_cell	adult		chip_histone,chip_tf,dnase,rna_seq,splice_junctions,splice_site_usage	19
CL:0001059	common myeloid progenitor, CD34-positive	primary_cell	adult		chip_histone,dnase,rna_seq,splice_junctions,splice_site_usage	11
CL:0002038	T follicular helper cell	primary_cell	adult		dnase	1
CL:0002057	CD14-positive, CD16-negative classical monocyte	primary_cell			cage	2
CL:0002061	T-helper 9 cell	primary_cell	adult		dnase	1
CL:0002092	bone marrow cell	primary_cell			cage	2
CL:0002098	regular cardiac myocyte	primary_cell	adult		rna_seq,splice_junctions,splice_site_usage	5
CL:0002138	endothelial cell of lymphatic vessel	primary_cell			cage	2
CL:0002140	acinar cell of sebaceous gland	primary_cell			cage	2
CL:0002144	capillary endothelial cell	primary_cell			cage	2
CL:0002166	epithelial cell of Malassez	primary_cell			cage	4
CL:0002167	olfactory epithelial cell	primary_cell			cage	4
CL:0002188	glomerular endothelial cell	primary_cell	embryonic		cage,rna_seq,splice_junctions,splice_site_usage	7
CL:0002193	myelocyte	primary_cell			cage	2
CL:0002224	lens epithelial cell	primary_cell			cage	2
CL:0002231	epithelial cell of prostate	primary_cell	unknown		cage,chip_histone,chip_tf,dnase	5
CL:0002252	epithelial cell of esophagus	primary_cell	unknown		cage,chip_histone,dnase	4
CL:0002304	non-pigmented ciliary epithelial cell	primary_cell	unknown		cage,dnase	3
CL:0002306	epithelial cell of proximal tubule	primary_cell	unknown		cage,chip_histone,chip_tf,dnase,rna_seq,splice_junctions,splice_site_usage	10
CL:0002319	neural cell	in_vitro_differentiated_cells	embryonic		chip_histone,chip_tf,rna_seq,splice_junctions,splice_site_usage	14
CL:0002324	myoepithelial cell of mammary gland	primary_cell	adult		chip_histone,rna_seq,splice_junctions,splice_site_usage	11
CL:0002326	luminal epithelial cell of mammary gland	primary_cell	adult		chip_histone,rna_seq,splice_junctions,splice_site_usage	9
CL:0002327	mammary epithelial cell	primary_cell	adult		cage,chip_histone,chip_tf,dnase,rna_seq,splice_junctions,splice_site_usage	25
CL:0002328	bronchial epithelial cell	primary_cell	adult		cage,chip_histone,chip_tf,dnase,rna_seq,splice_junctions,splice_site_usage	11
CL:0002351	progenitor cell of endocrine pancreas	in_vitro_differentiated_cells	embryonic		chip_tf,dnase,rna_seq,splice_junctions,splice_site_usage	7
CL:0002363	keratocyte	primary_cell			cage	2
CL:0002366	myometrial cell	primary_cell	adult		rna_seq,splice_junctions,splice_site_usage	5
CL:0002367	trabecular meshwork cell	primary_cell			cage	2
CL:0002368	airway epithelial cell	primary_cell	unknown		cage,rna_seq,splice_junctions,splice_site_usage	7
CL:0002372	myotube	in_vitro_differentiated_cells	unknown		cage,chip_histone,dnase,rna_seq,splice_junctions,splice_site_usage	17
CL:0002397	CD14-positive, CD16-positive monocyte	primary_cell			cage	4
CL:0002451	mammary stem cell	primary_cell	adult		rna_seq,splice_junctions,splice_site_usage	5
CL:0002453	oligodendrocyte precursor cell	primary_cell			cage	2
CL:0002504	enteric smooth muscle cell	primary_cell			cage	2
CL:0002518	kidney epithelial cell	primary_cell	embryonic,newborn		chip_histone,chip_tf,dnase,rna_seq,splice_junctions,splice_site_usage	9
CL:0002521	subcutaneous fat cell	primary_cell			cage	2
CL:0002536	amniotic epithelial cell	primary_cell	unknown		cage,dnase	3
CL:0002537	amnion mesenchymal stem cell	primary_cell			cage	2
CL:0002539	aortic smooth muscle cell	primary_cell	adult		cage,rna_seq,splice_junctions,splice_site_usage	7
CL:0002540	mesenchymal stem cell of the bone marrow	primary_cell	adult		cage,rna_seq,splice_junctions,splice_site_usage	7
CL:0002543	vein endothelial cell	primary_cell	adult		cage,rna_seq,splice_junctions,splice_site_usage	7
CL:0002544	aortic endothelial cell	primary_cell			cage	2
CL:0002545	thoracic aorta endothelial cell	primary_cell	adult		cage,rna_seq,splice_junctions,splice_site_usage	7
CL:0002547	fibroblast of the aortic adventitia	primary_cell	adult		cage,chip_histone,chip_tf,dnase,rna_seq,splice_junctions,splice_site_usage	10
CL:0002548	cardiac fibroblast	primary_cell	adult		cage,chip_histone,chip_tf,dnase	5
CL:0002549	fibroblast of choroid plexus	primary_cell			cage	2
CL:0002550	fibroblast of the conjuctiva	primary_cell	unknown		cage,dnase	3
CL:0002551	fibroblast of dermis	primary_cell	adult		cage,chip_histone,chip_tf,dnase,rna_seq,splice_junctions,splice_site_usage	16
CL:0002552	fibroblast of gingiva	primary_cell	unknown		cage,dnase	3
CL:0002553	fibroblast of lung	primary_cell	adult		cage,chip_histone,chip_tf,dnase,rna_seq,splice_junctions,splice_site_usage	23
CL:0002554	fibroblast of lymphatic vessel	primary_cell			cage	2
CL:0002555	fibroblast of mammary gland	primary_cell	unknown		cage,chip_histone,chip_tf,dnase	5
CL:0002556	fibroblast of periodontium	primary_cell			cage	2
CL:0002557	fibroblast of pulmonary artery	primary_cell	unknown		cage,chip_histone,chip_tf,dnase	5
CL:0002558	fibroblast of villous mesenchyme	primary_cell	newborn		cage,chip_histone,chip_tf,dnase,rna_seq,splice_junctions,splice_site_usage	10
CL:0002561	outer root sheath cell	primary_cell			cage	2
CL:0002563	intestinal epithelial cell	primary_cell			cage	2
CL:0002564	nucleus pulposus cell of intervertebral disc	primary_cell			cage	2
CL:0002565	iris pigment epithelial cell	primary_cell	unknown		cage,dnase	3
CL:0002566	dark melanocyte	primary_cell			cage	2
CL:0002567	light melanocyte	primary_cell			cage	2
CL:0002568	mesenchymal stem cell of Wharton's jelly	primary_cell	newborn		cage,rna_seq,splice_junctions,splice_site_usage	7
CL:0002569	mesenchymal stem cell of umbilical cord	primary_cell			cage	2
CL:0002570	mesenchymal stem cell of adipose	primary_cell	adult		cage,rna_seq,splice_junctions,splice_site_usage	7
CL:0002571	hepatic mesenchymal stem cell	primary_cell			cage	2
CL:0002572	vertebral mesenchymal stem cell	primary_cell			cage	2
CL:0002573	Schwann cell	primary_cell			cage	2
CL:0002574	stromal cell of pancreas	primary_cell			cage	2
CL:0002575	central nervous system pericyte	primary_cell			cage	2
CL:0002576	perineural cell	primary_cell			cage	2
CL:0002577	placental epithelial cell	primary_cell	newborn		cage,rna_seq,splice_junctions,splice_site_usage	7
CL:0002579	omentum preadipocyte	primary_cell			cage	2
CL:0002580	preadipocyte of the breast	primary_cell			cage	2
CL:0002581	perirenal preadipocyte	primary_cell			cage	2
CL:0002582	visceral preadipocyte	primary_cell			cage	2
CL:0002583	subcutaneous preadipocyte	primary_cell	adult		cage,rna_seq,splice_junctions,splice_site_usage	7
CL:0002584	renal cortical epithelial cell	primary_cell	adult		cage,dnase,rna_seq,splice_junctions,splice_site_usage	8
CL:0002586	retinal pigment epithelial cell	primary_cell	unknown		cage,chip_histone,chip_tf,dnase	5
CL:0002588	smooth muscle cell of the umbilical vein	primary_cell			cage	2
CL:0002589	smooth muscle cell of the brachiocephalic vasculature	primary_cell			cage	2
CL:0002590	smooth muscle cell of the brain vasculature	primary_cell	unknown		cage,dnase	3
CL:0002591	smooth muscle cell of the pulmonary artery	primary_cell	adult		cage,rna_seq,splice_junctions,splice_site_usage	7
CL:0002592	smooth muscle cell of the coronary artery	primary_cell	adult		cage,rna_seq,splice_junctions,splice_site_usage	7
CL:0002593	smooth muscle cell of the internal thoracic artery	primary_cell			cage	2
CL:0002594	smooth muscle cell of the umbilical artery	primary_cell	newborn		cage,rna_seq,splice_junctions,splice_site_usage	7
CL:0002595	smooth muscle cell of the subclavian artery	primary_cell			cage	2
CL:0002596	smooth muscle cell of the carotid artery	primary_cell			cage	2
CL:0002597	smooth muscle cell of bladder	primary_cell	adult		cage,rna_seq,splice_junctions,splice_site_usage	7
CL:0002598	bronchial smooth muscle cell	primary_cell	adult		cage,rna_seq,splice_junctions,splice_site_usage	7
CL:0002599	smooth muscle cell of the esophagus	primary_cell			cage	2
CL:0002600	smooth muscle cell of trachea	primary_cell	adult		cage,rna_seq,splice_junctions,splice_site_usage	7
CL:0002601	uterine smooth muscle cell	primary_cell	adult		cage,rna_seq,splice_junctions,splice_site_usage	7
CL:0002602	annulus pulposus cell	primary_cell			cage	2
CL:0002603	astrocyte of the cerebellum	primary_cell	unknown		cage,chip_histone,dnase	4
CL:0002604	astrocyte of the hippocampus	primary_cell	unknown		dnase	1
CL:0002605	astrocyte of the cerebral cortex	primary_cell			cage	2
CL:0002606	astrocyte of the spinal cord	primary_cell	unknown		chip_histone,chip_tf,dnase	3
CL:0002615	adipocyte of omentum tissue	primary_cell			cage	2
CL:0002616	perirenal adipocyte cell	primary_cell			cage	2
CL:0002617	adipocyte of breast	primary_cell			cage	2
CL:0002618	endothelial cell of umbilical vein	primary_cell	newborn		cage,chip_histone,chip_tf,dnase,procap,rna_seq,splice_junctions,splice_site_usage	33
CL:0002620	skin fibroblast	primary_cell			cage,contact_maps	3
CL:0002621	gingival epithelial cell	primary_cell			cage	2
CL:0002622	prostate stromal cell	primary_cell			cage	2
CL:0002623	acinar cell of salivary gland	primary_cell			cage	2
CL:0002677	naive regulatory T cell	primary_cell			cage	4
CL:0010001	stromal cell of bone marrow	primary_cell	unknown		dnase	1
CL:0010002	epithelial cell of umbilical artery	primary_cell	newborn		rna_seq,splice_junctions,splice_site_usage	5
CL:0010003	epithelial cell of alveolus of lung	primary_cell	unknown,embryonic		rna_seq,splice_junctions,splice_site_usage	5
CL:0011012	neural crest cell	in_vitro_differentiated_cells	embryonic		chip_tf,dnase,rna_seq,splice_junctions,splice_site_usage	7
CL:0011019	mesothelial cell of epicardium	in_vitro_differentiated_cells	embryonic		chip_tf,dnase,rna_seq,splice_junctions,splice_site_usage	7
CL:0011020	neural progenitor cell	in_vitro_differentiated_cells	embryonic		chip_histone,chip_tf,dnase,rna_seq,splice_junctions,splice_site_usage	18
CL:0011021	fibroblast of upper back skin	primary_cell	embryonic		dnase	1
CL:0011022	fibroblast of skin of back	primary_cell	embryonic		dnase,rna_seq,splice_junctions,splice_site_usage	5
CL:1000280	smooth muscle cell of colon	primary_cell			cage	2
CL:1000413	endothelial cell of artery	primary_cell			cage	2
CL:1000428	stem cell of epidermis	primary_cell			cage	2
CL:1000458	melanocyte of skin	primary_cell	adult		rna_seq,splice_junctions,splice_site_usage	5
